Qnty,Manufacturer,Stock Code,Title,Long Description,Short Description,Wholesale Price,Selling Price excl,Category,In Stock Text,Supplier,Tax ID
4,INTEL,BX8070110700,INTEL COMETLAKE-S I7-10700 4.8GH LGA1200,INTEL COMETLAKE-S I7-10700 4.8GH LGA1201,INTEL COMETLAKE-S I7-10700 4.8GH LGA1202,6412,7694.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
8,THERMALTAKE,CA-1P1-00M1WN-00,"TT CASE, COMMANDER G31 TG ARGB","TT CASE, COMMANDER G31 TG ARGB","TT CASE, COMMANDER G31 TG ARGB",1448,1737.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
7,THERMALTAKE,CA-1P2-00M1WN-00,"TT CASE, COMMANDER G32 TG ARGB","TT CASE, COMMANDER G32 TG ARGB","TT CASE, COMMANDER G32 TG ARGB",1448,1737.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
3,THERMALTAKE,CA-1P3-00M1WN-00,"TT CASE, COMMANDER G33 TG ARGB","TT CASE, COMMANDER G33 TG ARGB","TT CASE, COMMANDER G33 TG ARGB",1448,1737.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
6,THERMALTAKE,CA-1P4-00M1WN-00,"TT CASE, H550 TG ARGB","TT CASE, H550 TG ARGB","TT CASE, H550 TG ARGB",1648,1977.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
2,THERMALTAKE,CA-1P6-00F1WN-00,"TT CASE, LEVEL 20 HT ARGB","TT CASE, LEVEL 20 HT ARGB","TT CASE, LEVEL 20 HT ARGB",2989,3586.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,THERMALTAKE,CA-1P6-00F6WN-00,"TT CASE, LEVEL 20 HT SNOW ARGB","TT CASE, LEVEL 20 HT SNOW ARGB","TT CASE, LEVEL 20 HT SNOW ARGB",2989,3586.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,THERMALTAKE,CA-1P8-00M1WN-00,"TT CASE, LEVEL 20 RS ARGB","TT CASE, LEVEL 20 RS ARGB","TT CASE, LEVEL 20 RS ARGB",2388,2865.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,UNBRANDED,CAB015,CONNECTOR - RJ45 CAT5 CONNECTOR,CONNECTOR - RJ45 CAT5 CONNECTOR,CONNECTOR - RJ45 CAT5 CONNECTOR,1,1.2,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,UNBRANDED,CAB760,POWER - RED PLUG 1.8M SINGLE C15,POWER - RED PLUG 1.8M SINGLE C16,POWER - RED PLUG 1.8M SINGLE C17,35,42,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
2,ACARD,CFT-S-13M15-1R,1310/1550 NM MUX & DEMUXWDM FILTER MOD,1310/1550 NM MUX & DEMUXWDM FILTER MOD,1310/1550 NM MUX & DEMUXWDM FILTER MOD,3788,4545.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
7,THERMALTAKE,CL-F039-PL14RED-A,"TT FAN, RIING 14 HIGH STATIC LED RED","TT FAN, RIING 14 HIGH STATIC LED RED","TT FAN, RIING 14 HIGH STATIC LED RED",138,165.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
17,THERMALTAKE,CL-F088-PL12SW-A,"TT FAN, RIING QUAD 12 RGB RADIATOR BLACK","TT FAN, RIING QUAD 12 RGB RADIATOR BLACK","TT FAN, RIING QUAD 12 RGB RADIATOR BLACK",1988,2385.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
15,THERMALTAKE,CL-F100-PL12SW-A,"TT FAN, RIING QUAD 12 RGB RADIATOR WHITE","TT FAN, RIING QUAD 12 RGB RADIATOR WHITE","TT FAN, RIING QUAD 12 RGB RADIATOR WHITE",1988,2385.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
8,THERMALTAKE,CL-W264-PL00SW-A,"TT WATER COOLER, PACIFIC CORE P5 DP-D5","TT WATER COOLER, PACIFIC CORE P5 DP-D6","TT WATER COOLER, PACIFIC CORE P5 DP-D7",4598,5517.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
12,THERMALTAKE,CL-W285-PL12SW-A,"TT WATER COOLER, TH120 ARGB SYNC","TT WATER COOLER, TH120 ARGB SYNC","TT WATER COOLER, TH120 ARGB SYNC",1248,1497.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,UNBRANDED,COV001,CONVERTER - USB TO POWER,CONVERTER - USB TO POWER,CONVERTER - USB TO POWER,160,192,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
10,LENKENG,COV048,CONVERTER - VGA TO HDMI + AUDIO (38285),CONVERTER - VGA TO HDMI + AUDIO (38285),CONVERTER - VGA TO HDMI + AUDIO (38285),302,362.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
5,INTEL,CPU470,"FAN, CPU FAN AND HEATSINK","FAN, CPU FAN AND HEATSINK","FAN, CPU FAN AND HEATSINK",90,108,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
6,KGUARD,CSP-3142,"KGUARD AUTO IRIS CCD 1/3"" 520TVL HIGH-RE","KGUARD AUTO IRIS CCD 1/3"" 520TVL HIGH-RE","KGUARD AUTO IRIS CCD 1/3"" 520TVL HIGH-RE",1048,1257.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
1,KGUARD,CSP-3241-3B,"KGUARD 1/3"" CCD DOME CAM W/F=3.6MM LENS","KGUARD 1/3"" CCD DOME CAM W/F=3.6MM LENS","KGUARD 1/3"" CCD DOME CAM W/F=3.6MM LENS",279,334.8,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
12,SAMSUNG,EP-L1100NBEGWW,SAMSUNG CAR FAST CHARGER DUAL TYP-C MIN,SAMSUNG CAR FAST CHARGER DUAL TYP-C MIN,SAMSUNG CAR FAST CHARGER DUAL TYP-C MIN,292,350.4,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
4,TENDA,F3,"TENDA ROUTER, 300MBPS WIRELESS ROUTER","TENDA ROUTER, 300MBPS WIRELESS ROUTER","TENDA ROUTER, 300MBPS WIRELESS ROUTER",228,273.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
22,TENDA,F9,"TENDA ROUTER, 600MBPS WI-FI","TENDA ROUTER, 600MBPS WI-FI","TENDA ROUTER, 600MBPS WI-FI",348,417.6,NEW ITEMS,IN STOCK at supplier. <br> If ordered before 12PM: <br> DELIVERED next business day (main centres) <br> or 3-5 business days (regional areas or large items) <br> COLLECTION from Geewiz available Same Day (approx 4:30pm) ,TVR,1
